Negative,Positive,WC
0.923189,0.076812,22
0.065139,0.934861,22
0.896449,0.103551,27
0.000000,1.000000,26
1.000000,0.000000,22
0.000099,0.999901,5
0.998508,0.001492,23
0.967268,0.032732,22
0.000000,1.000000,7
0.014687,0.985313,22
0.453859,0.546141,21
0.130879,0.869121,26
0.997307,0.002693,25
0.999996,0.000004,15
0.984014,0.015986,23
0.022398,0.977602,15
0.157487,0.842513,24
0.991582,0.008418,15
1.000000,0.000000,27
0.003651,0.996349,20
0.042166,0.957834,14
0.991058,0.008942,27
1.000000,0.000000,14
0.548716,0.451284,16
0.000011,0.999989,24
0.999987,0.000013,18
0.051260,0.948740,20
1.000000,0.000000,13
0.000300,0.999700,21
0.004381,0.995619,22
0.999994,0.000006,20
0.999978,0.000022,16
0.000021,0.999979,20
0.000000,1.000000,25
0.999999,0.000001,19
0.999999,0.000001,18
0.000971,0.999029,22
0.999974,0.000026,23
0.065427,0.934573,14
0.003504,0.996496,20
0.999976,0.000024,17
0.990088,0.009912,20
0.999209,0.000791,13
0.970948,0.029052,19
0.014915,0.985085,21
0.999802,0.000198,22
0.999999,0.000001,20
0.065203,0.934797,19
0.000000,1.000000,17
0.003186,0.996814,14
0.999677,0.000323,24
0.823528,0.176472,26
0.584615,0.415385,21
0.999915,0.000085,14
0.180596,0.819404,22
0.008836,0.991164,25
0.000022,0.999977,21
0.999999,0.000001,18
0.706273,0.293726,1
1.000000,0.000000,21
0.000001,0.999999,22
1.000000,0.000000,9
0.000001,0.999999,19
0.991795,0.008205,20
1.000000,0.000000,22
0.678917,0.321083,23
1.000000,0.000000,23
0.994519,0.005481,12
0.952617,0.047383,21
0.046032,0.953968,18
0.941423,0.058577,11
0.999998,0.000002,20
0.999884,0.000116,10
0.738063,0.261937,19
1.000000,0.000000,29
1.000000,0.000000,5
0.000037,0.999963,14
0.999583,0.000417,25
0.857486,0.142514,22
0.003444,0.996556,22
0.004345,0.995655,24
0.430456,0.569544,20
0.494329,0.505671,20
1.000000,0.000000,20
0.999988,0.000012,24
0.991435,0.008565,19
0.000000,1.000000,22
0.997821,0.002179,19
0.999968,0.000032,20
0.999986,0.000014,20
0.027211,0.972789,22
0.999998,0.000002,19
0.964654,0.035346,19
0.817966,0.182034,22
0.896807,0.103193,23
0.000000,1.000000,26
0.000001,0.999999,22
0.000005,0.999995,21
0.989210,0.010790,17
0.000000,1.000000,23
1.000000,0.000000,13
0.395391,0.604609,26
0.960937,0.039063,20
0.000155,0.999845,26
0.999905,0.000095,20
0.000001,0.999999,25
0.761871,0.238129,16
0.006013,0.993987,27
0.433622,0.566378,24
0.032284,0.967716,22
1.000000,0.000000,22
0.999973,0.000027,21
0.992074,0.007926,24
0.001717,0.998283,23
0.112091,0.887909,23
1.000000,0.000000,22
0.000076,0.999924,19
0.919958,0.080042,21
0.052441,0.947559,19
0.942065,0.057935,24
0.256156,0.743844,23
1.000000,0.000000,20
0.999991,0.000009,17
0.999196,0.000804,24
1.000000,0.000000,22
0.921978,0.078022,24
0.000000,1.000000,22
1.000000,0.000000,21
0.113471,0.886529,22
0.998966,0.001034,19
0.999586,0.000414,14
0.970215,0.029785,19
0.999997,0.000003,14
1.000000,0.000000,20
0.002250,0.997750,21
0.987327,0.012673,22
0.006021,0.993979,21
1.000000,0.000000,19
1.000000,0.000000,23
0.493537,0.506463,1
0.514561,0.485439,25
0.234051,0.765949,22
0.003470,0.996530,20
0.998449,0.001551,19
0.999997,0.000002,17
0.000013,0.999987,20
1.000000,0.000000,21
1.000000,0.000000,20
0.999985,0.000015,23
0.198776,0.801224,20
0.051152,0.948848,21
0.999997,0.000003,21
1.000000,0.000000,23
0.012745,0.987255,23
0.971086,0.028914,17
1.000000,0.000000,23
0.000000,1.000000,24
0.032776,0.967224,18
0.999984,0.000016,21
1.000000,0.000000,24
0.000062,0.999938,22
0.000059,0.999941,22
0.000071,0.999929,20
0.000623,0.999377,12
0.247831,0.752169,21
0.172893,0.827107,22
0.000032,0.999968,9
1.000000,0.000000,23
0.935516,0.064484,22
0.997949,0.002051,24
0.305454,0.694546,25
0.999742,0.000258,22
1.000000,0.000000,24
0.155933,0.844067,21
1.000000,0.000000,14
0.999671,0.000329,18
0.000181,0.999819,22
0.999858,0.000142,24
0.978205,0.021795,18
0.000062,0.999938,25
0.000000,1.000000,15
0.033550,0.966451,17
0.000000,1.000000,21
0.999012,0.000987,25
1.000000,0.000000,19
0.000000,1.000000,21
0.998581,0.001419,22
0.999730,0.000270,21
1.000000,0.000000,10
0.632132,0.367868,22
0.015629,0.984371,19
1.000000,0.000000,21
0.000008,0.999992,14
0.999999,0.000001,12
0.282042,0.717958,9
0.010820,0.989180,8
1.000000,0.000000,16
0.687604,0.312396,17
0.001555,0.998445,11
0.000770,0.999230,24
0.312487,0.687513,19
0.999897,0.000103,21
0.000000,1.000000,26
0.885921,0.114079,10
0.318876,0.681124,23
1.000000,0.000000,22
0.936116,0.063884,22
0.024429,0.975571,9
0.493537,0.506463,1
1.000000,0.000000,21
0.335598,0.664402,19
0.999841,0.000159,19
0.400465,0.599535,18
0.000586,0.999414,18
0.911490,0.088510,26
0.298671,0.701329,26
0.012273,0.987727,19
0.000000,1.000000,25
0.989093,0.010907,20
0.001400,0.998600,22
0.000003,0.999997,16
0.973936,0.026064,16
0.984063,0.015937,20
0.954318,0.045682,14
0.382367,0.617633,15
0.991585,0.008415,21
0.999994,0.000006,23
0.001840,0.998159,24
1.000000,0.000000,16
0.000000,1.000000,24
0.986521,0.013479,24
0.999914,0.000086,22
1.000000,0.000000,15
0.966906,0.033094,18
0.999976,0.000024,21
0.609992,0.390008,19
0.871181,0.128819,27
0.001968,0.998032,16
0.005282,0.994718,16
0.003361,0.996639,14
0.992467,0.007533,13
0.795049,0.204951,25
0.999996,0.000004,20
0.999840,0.000160,19
1.000000,0.000000,13
