"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Bravo @kerrywashington <U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE> https://t.co/W0vo1GC6Qd",FALSE,1851,NA,2016-04-17 02:40:41,FALSE,NA,"721528779886080000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",633,FALSE,FALSE,NA,NA
"RT @hollyrpeete: Time to get this crazy fam movin!  #ForPeetesSake Let’s goooooo! @OWNTV",FALSE,0,NA,2016-04-17 01:03:08,FALSE,NA,"721504231987871745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",43,TRUE,FALSE,NA,NA
"RT @OWNTV: Sound advice from @hollyrpeete, @nessabcalloway &amp; @NessaWilliams. Catch them on #ForPeetesSake, tonight at 9/8c.
https://t.co/gx…",FALSE,0,NA,2016-04-16 23:43:00,FALSE,NA,"721484064121757696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",86,TRUE,FALSE,NA,NA
"Tweet, tweet #ForPeetesSake tonight on @OWNTV ...@hollyrpeete, where are you watching from?",FALSE,498,NA,2016-04-16 23:37:07,FALSE,NA,"721482587412148225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",102,FALSE,FALSE,NA,NA
"RT @hollyrpeete: Tonight on #ForPeetesSake I get me a #momcave <U+0001F37E><U+0001F646><U+0001F3FD><U+0001F64C><U+0001F3FD> Now get out! <U+270C><U+0001F3FD><U+FE0F> 9/8c on @owntv
https://t.co/pUbsn0I14u",FALSE,0,NA,2016-04-16 23:35:03,FALSE,NA,"721482065296756736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",54,TRUE,FALSE,NA,NA
"@AVAETC @ThatRebecca So Am I.
It's so awesome already. #QueenSugar",FALSE,96,"ava",2016-04-14 02:32:32,FALSE,"720422301452214272","720439568290349056","14982804","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",30,FALSE,FALSE,NA,NA
"@AshBenton @MJRawth @SuperSoulSunday  heeeyyyy!",FALSE,87,"AshBenton",2016-04-10 18:45:31,FALSE,"719229663445458945","719234874498895874","291384033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",30,FALSE,FALSE,NA,NA
"""Put yourself in the way of beauty"" love that one @CherylStrayed #SuperSoulSunday",FALSE,1192,NA,2016-04-10 18:26:38,FALSE,NA,"719230120376934400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",390,FALSE,FALSE,NA,NA
"In God I live and breathe and have my being.Acts:17:28",FALSE,2678,NA,2016-04-10 18:20:58,FALSE,NA,"719228696272379905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",1158,FALSE,FALSE,NA,NA
"@MJRawth @SuperSoulSunday I feel the same about you!",FALSE,52,"MJRawth",2016-04-10 18:17:40,FALSE,"719227051463614464","719227866324410369","21373838","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",14,FALSE,FALSE,NA,NA
"In a room with powerful SuperSoulers... Tweet tweet! #SuperSoulSunday",FALSE,1396,NA,2016-04-10 18:02:28,FALSE,NA,"719224041555369984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",296,FALSE,FALSE,NA,NA
"@RichOnOWN bet you loved that story , father and son ob the river.",FALSE,68,"RichOnOWN",2016-04-10 16:01:55,FALSE,"719192764357824513","719193704167157760","407474647","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",16,FALSE,FALSE,NA,NA
"What a beautiful super soul short. #ColoradoRiver #SuperSoulSunday",FALSE,584,NA,2016-04-10 16:00:48,FALSE,NA,"719193423584989184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",113,FALSE,FALSE,NA,NA
"@3LWTV love that one too.",FALSE,59,"3LWTV",2016-04-10 15:23:48,FALSE,"719184006085025793","719184109658972162","20831692","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",10,FALSE,FALSE,NA,NA
"In God I Move and Breathe and Have My Being.  Acts17:28 #SuperSoulSunday",FALSE,2415,NA,2016-04-10 15:21:47,FALSE,NA,"719183602743779328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",956,FALSE,FALSE,NA,NA
"Glad to see you all tweet tweeting. #SuperSoulSunday",FALSE,1092,NA,2016-04-10 15:13:17,FALSE,NA,"719181464340799490",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",232,FALSE,FALSE,NA,NA
"@tylerconti loved hearing you today. Stedman and Listening to u now Time Today by Tyler Conti on @AppleMusic.  https://t.co/a0b63dnDWd",FALSE,168,"tylerconti",2016-04-03 22:05:42,FALSE,NA,"716748535450832896","34463947","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",55,FALSE,FALSE,NA,NA
".@AgapeISC loved being with you All.
Full<U+2764><U+FE0F><U+0001F64F><U+0001F3FE> #greatness https://t.co/zWkTAmtTMY",FALSE,1065,NA,2016-04-03 20:53:41,FALSE,NA,"716730414333714432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",235,FALSE,FALSE,NA,NA
".@AgapeISC loved being with you ALL.
#Greatness https://t.co/Iv1v0989gq",FALSE,767,NA,2016-04-03 20:49:07,FALSE,NA,"716729263349637120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",144,FALSE,FALSE,NA,NA
"@RealTracyMorgan what a road back to healing your wife and daughter are earth angels<U+0001F607>.",FALSE,263,"RealTracyMorgan",2016-04-03 15:58:18,FALSE,NA,"716656076670652416","80700514","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",67,FALSE,FALSE,NA,NA
"@cherylaction @GaOWNers and have you felt her  spirit rising and abiding  in you.",FALSE,56,"cherylaction",2016-04-03 15:52:47,FALSE,"716654244313468929","716654688544755712","170358558","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",13,FALSE,FALSE,NA,NA
"@3LWTV @OWNTV @CarpeDiemJBS so glad you could be there. She looks beautiful.",FALSE,69,"3LWTV",2016-04-03 15:32:24,FALSE,"716648452625551360","716649560794222592","20831692","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",18,FALSE,FALSE,NA,NA
