Negative,Positive,WC
0.000064,0.999936,21
1.000000,0.000000,12
0.269854,0.730146,22
1.000000,0.000000,22
1.000000,0.000000,15
1.000000,0.000000,20
0.009773,0.990227,21
0.006266,0.993734,12
0.000000,1.000000,15
0.996460,0.003540,21
1.000000,0.000000,20
0.000000,1.000000,23
0.003135,0.996865,7
0.310592,0.689408,20
0.999733,0.000267,21
0.999985,0.000015,26
0.493537,0.506463,1
0.043628,0.956372,22
0.000792,0.999208,19
0.951089,0.048911,19
0.000096,0.999904,19
1.000000,0.000000,19
0.999987,0.000013,21
1.000000,0.000000,11
0.999999,0.000001,15
0.999841,0.000159,22
0.997825,0.002175,24
0.999998,0.000002,16
0.032831,0.967169,18
0.493537,0.506463,1
0.493537,0.506463,1
0.493537,0.506463,1
1.000000,0.000000,6
0.999999,0.000001,19
0.999996,0.000004,23
0.551169,0.448831,21
0.029630,0.970370,25
0.493537,0.506463,1
0.493537,0.506463,1
0.944580,0.055420,14
0.493537,0.506463,1
0.493537,0.506463,1
1.000000,0.000000,20
0.052884,0.947116,20
0.005697,0.994303,20
0.999487,0.000513,21
0.002126,0.997874,23
0.000285,0.999715,24
0.019144,0.980856,8
0.000000,1.000000,5
0.675969,0.324031,16
0.663411,0.336589,16
0.811203,0.188797,22
1.000000,0.000000,23
1.000000,0.000000,23
1.000000,0.000000,20
0.999986,0.000014,25
1.000000,0.000000,20
0.998963,0.001037,16
1.000000,0.000000,20
0.002391,0.997609,24
0.000022,0.999978,15
0.046826,0.953174,18
0.493537,0.506463,1
1.000000,0.000000,19
0.998646,0.001354,20
1.000000,0.000000,22
0.000972,0.999028,22
0.473494,0.526506,25
0.998002,0.001998,23
1.000000,0.000000,20
1.000000,0.000000,20
0.999863,0.000137,22
1.000000,0.000000,22
0.000000,1.000000,22
0.000280,0.999720,19
1.000000,0.000000,20
0.016478,0.983522,19
0.000025,0.999975,22
0.003905,0.996095,18
0.493537,0.506463,1
0.999226,0.000774,23
0.000169,0.999831,7
0.917900,0.082100,23
0.493537,0.506463,1
0.967539,0.032461,22
0.779085,0.220915,23
1.000000,0.000000,20
1.000000,0.000000,15
0.000000,1.000000,16
0.514713,0.485287,24
0.466100,0.533900,20
0.493537,0.506463,1
1.000000,0.000000,21
0.000906,0.999094,25
0.000002,0.999998,24
1.000000,0.000000,22
1.000000,0.000000,16
0.004161,0.995839,13
0.958657,0.041343,22
1.000000,0.000000,26
0.960685,0.039315,24
1.000000,0.000000,25
0.999990,0.000010,20
0.010052,0.989948,19
0.999877,0.000123,20
1.000000,0.000000,19
0.999751,0.000249,17
0.997999,0.002001,23
1.000000,0.000000,20
1.000000,0.000000,22
0.953137,0.046863,19
0.005075,0.994925,8
0.001215,0.998785,8
0.000014,0.999986,30
0.000161,0.999839,23
0.997386,0.002614,24
1.000000,0.000000,21
0.662307,0.337693,20
0.999996,0.000004,24
0.385906,0.614094,24
0.002851,0.997149,24
0.999212,0.000788,20
1.000000,0.000000,22
0.751159,0.248841,17
0.063465,0.936535,6
1.000000,0.000000,23
0.919468,0.080532,13
1.000000,0.000000,22
1.000000,0.000000,22
0.906309,0.093691,20
0.999984,0.000016,21
0.591426,0.408574,23
1.000000,0.000000,19
0.021846,0.978154,23
0.290578,0.709423,20
0.989418,0.010582,22
0.000000,1.000000,20
0.047701,0.952299,23
0.999928,0.000072,8
0.998133,0.001867,22
1.000000,0.000000,21
0.993963,0.006037,22
0.995650,0.004350,23
0.989619,0.010381,21
0.000000,1.000000,19
0.002728,0.997272,28
0.007252,0.992748,17
0.000000,1.000000,20
0.993710,0.006290,20
0.000000,1.000000,19
0.999972,0.000028,20
0.493537,0.506463,1
0.999945,0.000055,21
0.255683,0.744317,10
0.019876,0.980124,24
0.290139,0.709861,21
0.984268,0.015732,13
0.966394,0.033606,19
0.999988,0.000012,30
0.000000,1.000000,22
0.000000,1.000000,25
1.000000,0.000000,11
0.000221,0.999779,22
0.999883,0.000117,24
1.000000,0.000000,19
1.000000,0.000000,26
0.999964,0.000036,21
1.000000,0.000000,26
0.887822,0.112178,20
0.000042,0.999958,17
0.995647,0.004353,15
0.999922,0.000078,21
1.000000,0.000000,10
0.000000,1.000000,21
0.963809,0.036191,20
1.000000,0.000000,20
1.000000,0.000000,20
0.000000,1.000000,20
0.954714,0.045286,24
1.000000,0.000000,18
0.002464,0.997536,22
0.000037,0.999963,23
0.000000,1.000000,19
0.586829,0.413171,20
0.040306,0.959694,22
0.999807,0.000193,27
0.836753,0.163247,21
0.797608,0.202392,16
0.000007,0.999993,21
0.000212,0.999788,21
1.000000,0.000000,21
0.000023,0.999977,6
0.842326,0.157674,21
1.000000,0.000000,21
0.877590,0.122410,3
0.943330,0.056670,18
0.936221,0.063779,26
1.000000,0.000000,26
0.999945,0.000055,4
0.495196,0.504804,20
0.682907,0.317093,21
0.415704,0.584296,20
0.120307,0.879693,17
0.035258,0.964742,26
0.016052,0.983948,24
0.855922,0.144078,23
0.340805,0.659195,24
0.997786,0.002214,20
0.978721,0.021279,20
0.000000,1.000000,22
0.000211,0.999789,19
0.038520,0.961480,20
0.000000,1.000000,21
0.000046,0.999954,25
0.785217,0.214783,20
0.999761,0.000239,21
0.976114,0.023886,21
0.004675,0.995325,25
0.274206,0.725794,26
0.999951,0.000049,17
0.999999,0.000001,23
0.999881,0.000119,21
0.928934,0.071066,23
0.428313,0.571687,23
1.000000,0.000000,23
1.000000,0.000000,24
0.421937,0.578063,22
0.943165,0.056835,23
0.007269,0.992731,7
0.989129,0.010871,25
0.999996,0.000004,33
0.195232,0.804768,4
0.999908,0.000092,25
1.000000,0.000000,21
1.000000,0.000000,21
1.000000,0.000000,20
0.925535,0.074465,4
0.990174,0.009826,23
0.995935,0.004065,19
1.000000,0.000000,22
0.563246,0.436754,2
0.121107,0.878893,22
1.000000,0.000000,21
0.000000,1.000000,21
0.997113,0.002887,16
0.000000,1.000000,26
0.002497,0.997503,7
0.000204,0.999796,10
0.003617,0.996383,7
0.561900,0.438100,19
1.000000,0.000000,15
0.000626,0.999374,17
0.000000,1.000000,16
0.000000,1.000000,21
0.000100,0.999900,14
0.787421,0.212579,20
1.000000,0.000000,10
0.009033,0.990967,22
0.999989,0.000011,22
1.000000,0.000000,22
1.000000,0.000000,10
0.973614,0.026386,17
0.040823,0.959177,3
0.313872,0.686128,21
0.007269,0.992731,7
1.000000,0.000000,23
0.999870,0.000130,22
0.990441,0.009559,21
1.000000,0.000000,24
1.000000,0.000000,20
0.016002,0.983998,6
1.000000,0.000000,21
0.000000,1.000000,22
1.000000,0.000000,23
0.000148,0.999852,20
1.000000,0.000000,10
1.000000,0.000000,20
0.899906,0.100094,17
0.000000,1.000000,21
0.630834,0.369166,1
0.997567,0.002433,21
0.989188,0.010812,23
0.991951,0.008049,22
0.998889,0.001111,22
0.000027,0.999973,19
0.999991,0.000009,20
1.000000,0.000000,23
1.000000,0.000000,24
0.403278,0.596722,4
0.007269,0.992731,7
0.000000,1.000000,9
0.452669,0.547331,14
1.000000,0.000000,8
1.000000,0.000000,19
1.000000,0.000000,21
1.000000,0.000000,20
1.000000,0.000000,19
1.000000,0.000000,23
0.041593,0.958407,24
1.000000,0.000000,26
0.999866,0.000134,26
0.999815,0.000185,25
0.058785,0.941215,11
0.997734,0.002265,22
0.000000,1.000000,22
0.007973,0.992027,21
0.999888,0.000112,21
0.000000,1.000000,5
0.000001,0.999999,17
0.000006,0.999994,10
0.000000,1.000000,22
0.000104,0.999896,24
0.000014,0.999986,19
0.070654,0.929346,22
0.968447,0.031553,27
0.004841,0.995159,24
0.075753,0.924247,27
0.992121,0.007879,20
0.999267,0.000733,18
0.984600,0.015400,8
0.047126,0.952874,22
0.999984,0.000016,23
0.010920,0.989080,23
0.000174,0.999826,12
1.000000,0.000000,22
0.001177,0.998823,20
0.979996,0.020004,24
1.000000,0.000000,22
0.994785,0.005215,22
0.999999,0.000001,17
0.727188,0.272812,16
1.000000,0.000000,23
1.000000,0.000000,21
0.001177,0.998823,23
1.000000,0.000000,21
0.000569,0.999431,23
1.000000,0.000000,25
1.000000,0.000000,19
1.000000,0.000000,16
0.999316,0.000684,20
0.993469,0.006531,21
0.493537,0.506463,1
0.004144,0.995856,20
0.042420,0.957580,21
1.000000,0.000000,23
1.000000,0.000000,19
0.999998,0.000002,22
0.233033,0.766967,23
0.917940,0.082060,10
1.000000,0.000000,26
0.919700,0.080300,20
0.996055,0.003945,24
0.000003,0.999997,22
0.000031,0.999969,13
0.965099,0.034902,26
0.047720,0.952280,24
0.999859,0.000141,22
1.000000,0.000000,12
1.000000,0.000000,21
1.000000,0.000000,12
0.093990,0.906010,20
0.055429,0.944571,22
0.999999,0.000001,3
1.000000,0.000000,11
0.000001,0.999999,20
0.583854,0.416146,14
0.022516,0.977484,20
0.558013,0.441987,16
0.000604,0.999396,17
0.970328,0.029672,21
1.000000,0.000000,28
0.895559,0.104441,22
0.995751,0.004249,21
0.038354,0.961646,20
0.932414,0.067586,20
0.540539,0.459461,8
1.000000,0.000000,21
1.000000,0.000000,18
0.999873,0.000127,18
1.000000,0.000000,24
1.000000,0.000000,30
0.945505,0.054495,25
0.996088,0.003912,24
0.759601,0.240399,24
0.001433,0.998567,22
0.000003,0.999997,21
1.000000,0.000000,22
0.013904,0.986096,26
1.000000,0.000000,20
0.704041,0.295959,23
0.563246,0.436754,2
0.731202,0.268798,22
0.000000,1.000000,5
0.000000,1.000000,16
0.003688,0.996312,18
0.999391,0.000609,18
0.000000,1.000000,20
1.000000,0.000000,20
0.769093,0.230907,19
1.000000,0.000000,27
0.764668,0.235332,3
0.982447,0.017553,22
0.999989,0.000011,15
0.999993,0.000007,22
0.999933,0.000067,22
0.956703,0.043297,24
0.413323,0.586677,23
0.999963,0.000037,25
1.000000,0.000000,23
0.998558,0.001442,21
